balanced_accuracy,Logistic.Regression,Decision.Tree,Naive.Bayes,XGBoost,Elastic.Net,DeepHit,Transformation.Surv
borrow + account liquidated,50.44,50.74,50.68,49.35,50.44,50.75,50.75
borrow + deposit,62.93,63.74,66.04,64.53,62.93,39.97,36.21
borrow + repay,68.71,70.90,71.85,67.48,66.87,62.88,61.35
borrow + withdraw,61.39,63.60,66.13,54.73,61.40,71.11,65.79
deposit + account liquidated,50.11,50.09,50.06,50.00,50.11,50.05,50.05
deposit + borrow,61.80,58.55,52.11,50.00,61.80,58.55,58.55
deposit + repay,62.12,58.57,48.00,50.00,62.13,58.57,58.57
deposit + withdraw,76.86,78.38,72.01,77.62,75.95,72.31,62.83
repay + account liquidated,50.12,51.10,50.05,50.24,50.12,50.28,50.27
repay + borrow,70.62,77.91,68.47,76.83,72.27,71.57,55.58
repay + deposit,63.63,61.67,67.41,75.69,63.64,57.16,60.66
repay + withdraw,62.06,58.52,68.41,42.72,62.07,69.14,70.09
withdraw + account liquidated,50.07,50.06,50.06,49.97,50.07,50.04,50.05
withdraw + borrow,62.42,49.13,59.34,88.93,62.42,55.82,53.67
withdraw + repay,61.92,49.97,66.75,54.86,61.91,57.84,54.35
withdraw + deposit,81.97,81.99,75.11,69.00,76.19,78.14,69.24
