Model,Balanced_Accuracy,F1_Score,Data_Combination
DeepHit,50.75%,2.95%,borrow + account liquidated
TransformationSurv,50.76%,2.98%,borrow + account liquidated
DeepHit,37.59%,28.27%,borrow + deposit
TransformationSurv,35.14%,26.79%,borrow + deposit
DeepHit,58.24%,57.25%,borrow + repay
TransformationSurv,55.94%,53.36%,borrow + repay
DeepHit,72.12%,47.29%,borrow + withdraw
TransformationSurv,71.42%,46.80%,borrow + withdraw
DeepHit,50.05%,0.21%,deposit + account liquidated
TransformationSurv,50.05%,0.21%,deposit + account liquidated
DeepHit,58.55%,29.21%,deposit + borrow
TransformationSurv,58.55%,29.21%,deposit + borrow
DeepHit,58.57%,29.27%,deposit + repay
TransformationSurv,58.57%,29.27%,deposit + repay
DeepHit,77.83%,42.11%,deposit + withdraw
TransformationSurv,75.35%,52.04%,deposit + withdraw
DeepHit,50.27%,1.12%,repay + account liquidated
TransformationSurv,50.27%,1.24%,repay + account liquidated
DeepHit,58.56%,42.29%,repay + borrow
TransformationSurv,56.28%,35.77%,repay + borrow
DeepHit,70.85%,41.75%,repay + deposit
TransformationSurv,56.59%,33.31%,repay + deposit
DeepHit,71.21%,36.16%,repay + withdraw
TransformationSurv,69.93%,44.99%,repay + withdraw
DeepHit,50.04%,0.17%,withdraw + account liquidated
TransformationSurv,50.04%,0.18%,withdraw + account liquidated
DeepHit,57.22%,25.62%,withdraw + borrow
TransformationSurv,53.84%,25.21%,withdraw + borrow
DeepHit,57.87%,27.20%,withdraw + repay
TransformationSurv,55.47%,26.87%,withdraw + repay
DeepHit,74.20%,56.52%,withdraw + deposit
TransformationSurv,70.76%,55.68%,withdraw + deposit
